FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
CL,8436568403670,919-1,Harina de Avena Bio sin Gluten 500 Gr,BioArtesa,Avena / Arroz,"2,26",1,"2,26",14/07/2026,jul-2026,74,VENDIDO,,"0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin gluten, Sin lactosa"
CL,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",24,"20,40",14/07/2026,jul-2026,74,EN RIESGO,Churros,
AL,8594060006352,1212-2,Dunky Zero 70 Gr Dark Donut - White Choco Cream,Amix Nutrition,Barritas & Snacks,"1,42",7,"9,95",15/07/2026,jul-2026,75,VIGENTE,,"+vendidos, 10IVA, AMIX, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, MRPOPPERS, PRODUCTO3C, SPRINTER.EXCLUIDO"
3C,8594060006352,1212-2,Dunky Zero 70 Gr Dark Donut - White Choco Cream,Amix Nutrition,Barritas & Snacks,"1,42",7,"9,95",15/07/2026,jul-2026,75,VIGENTE,,"+vendidos, 10IVA, AMIX, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, MRPOPPERS, PRODUCTO3C, SPRINTER.EXCLUIDO"
AL,8436568400228,1186,Almendra ecológica tostada sin piel Bio 1 Kg,BioArtesa,Comida Fitness,"14,12",2,"28,25",15/07/2026,jul-2026,75,VIGENTE,,"10IVA, Alimentos orgánicos, Almendras, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Keto, Sin gluten, Sin lactosa"
LR,8436568400228,1186,Almendra ecológica tostada sin piel Bio 1 Kg,BioArtesa,Comida Fitness,"14,12",2,"28,25",15/07/2026,jul-2026,75,VENDIDO,,"10IVA, Alimentos orgánicos, Almendras, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Keto, Sin gluten, Sin lactosa"
AL,5056569900485,1353-6,C4 Ultimate 20 Serv. Cosmic Rainbow,Cellucor,Preentreno / Precursores,"27,05",1,"27,05",15/07/2026,jul-2026,75,VIGENTE,,"10IVA, AMAZON.AUMENTO.4.99, AMERICANA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Contiene Creatina, DECATHLON.AUMENTO.4.99, Energizantes, Ginseng, Más Energía, Polvo, Pre-Entrenos, Rhodiola rosea, Taurina, Tirosina, Vitamina B, Vitamina B12, Vitamina B6, Vitamina C, Vitaminas B"
3C,5999076222384,554-3,Iso Whey Zero 500 Gr Vainilla,Biotech USA,Proteína,"14,87",1,"14,87",17/07/2026,jul-2026,77,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 80-84gr, Aislada, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten, Sin lactosa"
3C,5999100025158,#N/A,Producto no encontrado - Rellenar en observaciones,#N/A,#N/A,#N/A,3,#N/A,18/07/2026,jul-2026,78,VIGENTE,Peanut butter crunchy 400g scitec,#N/A
CL,5999100032866,197-1,Water Cut 100 Caps,Scitec Nutrition,Salud y Bienestar,"9,47",1,"9,47",18/07/2026,jul-2026,78,VENDIDO,,#N/A
CL,5999100023963,1501-2,Arthroxon Plus 320 Gr Sandía,Scitec Nutrition,Articulaciones,"18,85",1,"18,85",18/07/2026,jul-2026,78,VIGENTE,,"10IVA, Articulaciones, Bromelina, Colágeno, Condroitina, Cúrcuma, Glucosamina, Manganeso, MSM, Pimienta negra, Polvo, Salud, Salud y Bienestar, Vitamina C, Ácido hialuronico"
AL,5999100032866,197-1,Water Cut 100 Caps,Scitec Nutrition,Salud y Bienestar,"9,47",1,"9,47",18/07/2026,jul-2026,78,VIGENTE,,#N/A
AL,8436574330076,1190-4,Flap Jack 110 Gr 1 Ud Chocolate,Quamtrax,Barritas & Snacks,"0,87",30,"26,09",18/07/2026,jul-2026,78,VIGENTE,,"10IVA, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, Más Energía"
AL,8436574330151,1190-4,Flap Jack 110 Gr 1 Ud Yogurt,Quamtrax,Barritas & Snacks,"0,87",30,"26,09",18/07/2026,jul-2026,78,VIGENTE,,"10IVA, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, Más Energía"
AL,5999100025158,#N/A,,#N/A,#N/A,#N/A,13,#N/A,18/07/2026,jul-2026,78,#N/A,Peanut Butter 400 Gr Crunchy SCITEC,#N/A
AL,8023678732303,#N/A,,#N/A,#N/A,#N/A,4,#N/A,19/07/2026,jul-2026,79,#N/A,Bebida Vegetal de Avena Chai Bio 1 L,#N/A
LR,8023678732303,#N/A,,#N/A,#N/A,#N/A,2,#N/A,19/07/2026,jul-2026,79,VENDIDO,Bebida Vegetal de Avena Chai Bio 1 L,#N/A
CL,8435699401814,1050-1,Protein Pancake 1 Kg Chocolate - Galleta,Quamtrax,Comida Fitness,"11,28",3,"33,83",01/07/2026,jul-2026,61,VENDIDO,,"0 kg - 1 kg, 10IVA, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Keto, Novedades"
AL,8422584030457,#N/A,,#N/A,#N/A,#N/A,12,#N/A,19/07/2026,jul-2026,79,#N/A,Tortitas de Arroz con Chocolate Negro sin Gluten Bio 6u 90 Gr,#N/A
CL,5999100025127,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,21/07/2026,jul-2026,81,#N/A,Peanut Butter 1 Kg Smooth CREADO POST,#N/A
3C,5999100025127,#N/A,Producto no encontrado - Rellenar en observaciones,#N/A,#N/A,#N/A,3,#N/A,21/07/2026,jul-2026,81,VIGENTE,Peanut butter smooth 1kg scitec,#N/A
3C,8594159532694,1171-3,Flapjack Mr Poppers 120 Gr 1 Ud Yogurt,Amix Nutrition,Barritas & Snacks,"1,16",30,"34,80",21/07/2026,jul-2026,81,VIGENTE,,"10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, MRPOPPERS, Más Energía"
CL,8436574338294,2381-1,"Mass Gainer 5,5 Kg Vainilla",Quamtrax,Carbos / Subidores,"32,62",1,"32,62",21/07/2026,jul-2026,81,VENDIDO,,"0-20gr, 0-3gr, 10IVA, 65-80gr, > 3 kg, Avena, Con carbohidratos, Contiene Creatina, Dextrosa, Ganadores de peso, Ganar músculo, Recuperación, Vitaminas / minerales"
AL,5999076234943,1102-3,Amino Energy Zero 360 Gr Té de Melocotón,Biotech USA,Aminoácidos,"13,93",2,"27,86",24/07/2026,jul-2026,84,VIGENTE,,"10IVA, Aminoácidos, Arginina, Beta alanina, Cafeína, Calcio, Endurance, Energizantes, Fórmulas aminoácidos esenciales, Ganar músculo, Magnesio, Más Energía, Perder peso, Polvo, Potasio, Pre-Entrenos, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Sodio, Taurina, Tirosina, Té verde, Vitamina B6"
AL,8436568407296,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,24/07/2026,jul-2026,84,#N/A,Nueces Pecanas Bio 1 Kg,#N/A
AL,5999100028715,2026-5,Choco Pro Bar 50 Gr Fresa - Chocolate Blanco,Scitec Nutrition,Barritas & Snacks,"0,95",20,"19,00",25/07/2026,jul-2026,85,VIGENTE,,"10IVA, Barritas y Snacks, Comida Saludable, DECATHLON.EXCLUIDO, Fit Food, Keto, Masticable, Sin gluten"
LR,5999076251353,1234-3,Iso Whey Zero Black 500 Gr Vainilla,Biotech USA,Proteína,"14,50",1,"14,50",25/07/2026,jul-2026,85,VENDIDO,,#N/A
LR,8437015531076,1698,Muesli Tropical Bio con chocolate 400 Gr,BioArtesa,Comida Fitness,"3,60",1,"3,60",27/07/2026,jul-2026,87,VIGENTE,,"10IVA, Comida Saludable, Desayunos Fit, Fit Food, Masticable"
AL,8411460507237,1843-2,Creatina Creapure 300 Gr Piña Colada,Protella,Creatina,"14,06",1,"14,06",28/07/2026,jul-2026,88,VIGENTE,,"10IVA, AMAZON.AUMENTO.2.99, Creapure, Creatina, Ganar músculo, Monohidrato, Más Energía, Polvo"
AL,8436568400570,849-1,Copos de Avena Bio sin Gluten 1 Kg,BioArtesa,Comida Fitness,"4,04",1,"4,04",28/07/2026,jul-2026,88,VIGENTE,,"+vistos, 0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Masticable, Sin gluten, Sin lactosa"
LR,8436568400570,849-1,Copos de Avena Bio sin Gluten 1 Kg,BioArtesa,Comida Fitness,"4,04",2,"8,08",28/07/2026,jul-2026,88,VIGENTE,,
3C,5999076228799,2734-4,Crush Bar 64 Gr Chocolate - Brownie,Biotech USA,Barritas & Snacks,"1,81",60,"108,83",29/07/2026,jul-2026,89,EN RIESGO,,"+relevantes, +vendidos, 10-14gr, 10IVA, 35-49gr, 36-50gr, 9-15gr, Barritas y Snacks, Comida Saludable, DECATHLON.EXCLUIDO, Fit Food, Keto, Masticable"
CL,5999100025158,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,18/07/2026,jul-2026,78,#N/A,Peanut Butter 1 kg crunchy 400 gr scitec,#N/A
CL,8436578410750,1517-2,Whey 100 2 Kg Fresa,WheyLand,Proteína,"40,70",1,"40,70",29/07/2026,jul-2026,89,VENDIDO,,"+relevantes, 1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
CL,8436578410750,1517-2,Whey 100 2 Kg Fresa,WheyLand,Proteína,"40,70",1,"40,70",29/07/2026,jul-2026,89,VIGENTE,,"+relevantes, 1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
CL,8436540530196,1198,Crema de Almendras By Torreblanca 300 Gr,Vitobest,Comida Fitness,"6,91",4,"27,64",30/07/2026,jul-2026,90,VENDIDO,,"10IVA, Comida Saludable, Cremas Frutos Secos, Desayunos Fit, Fit Food, Keto, Salsas cremas y siropes"
LR,8436568400648,2676,Coco rallado Bio 1 Kg,BioArtesa,Comida Fitness,"6,12",1,"6,12",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, PRODUCTOCL, Sin gluten, Sin lactosa"
LR,636665938343,106-1,Testribulan 180 Tab,Bigman,Prohormonales,"12,99",2,"25,98",30/07/2026,jul-2026,90,VIGENTE,,#N/A
LR,8594159537262,255-1,Detonatrol 90 Caps,Amix Nutrition,Control y Pérdida de peso,"21,33",2,"42,66",30/07/2026,jul-2026,90,VIGENTE,,"+relevantes, 10IVA, AMIX, Bloqueadores, Cafeína, Café verde, Cetonas de frambuesa, Cla, Control de peso, Cápsulas, Depuradores, Diuréticos, Extracto de naranja roja, Extracto de pomelo, Garcinia Cambogia, Guaraná, Inhibidores del apetito, Jengibre, MUSCLECORE, Naranja amarga, Naranja sanguínea, Perder peso, Pimienta negra, Pomelo, Rhodiola rosea, Sauce blanco, Termogénicos, Té verde, Vitamina B3, Vitamina B6, Vitamina C, Ácido Ursólico"
LR,5999076245024,1709-4,Flavour Power 160 Gr Chocolate,Biotech USA,Comida Fitness,"7,01",1,"7,01",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Saborizante, Salsas cremas y siropes, Sin gluten"
LR,8436568407340,2761,Coco Rallado Bio 250 Gr,BioArtesa,Comida Fitness,"3,00",2,"6,00",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, PRODUCTOCL, Sin gluten, Sin lactosa"
CL,8436568407340,2761,Coco Rallado Bio 250 Gr,BioArtesa,Comida Fitness,"3,00",1,"3,00",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, PRODUCTOCL, Sin gluten, Sin lactosa"
3C,8436601101204,1792-3,"Sport Live Iso Whey Protein Aislado 2,2 Kg Cookies and Cream",Drasanvi,Proteína,"46,23",1,"46,23",30/07/2026,jul-2026,90,VIGENTE,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 90-100gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436601101198,1794-2,Sport Live Iso Whey Protein Aislado 800 Gr Cookies and Cream,Drasanvi,Proteína,"20,90",1,"20,90",30/07/2026,jul-2026,90,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMAZON.AUMENTO.2.99, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8425252160029,1850-15,CFM ISO Zero 1 Kg Milk & Cinnamon,BIG,Proteína,"37,29",1,"37,29",30/07/2026,jul-2026,90,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, BULEVIP.AUMENTO.3.99, DECATHLON.AUMENTO.4.99, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, TRADEINN.AUMENTO.9.99"
3C,8594159537392,499-2,Pure CFM Whey Nitro Protein Isolate 1 Kg Vainilla,Amix Nutrition,Proteína,"32,02",1,"32,02",30/07/2026,jul-2026,90,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, MUSCLECORE, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8594046790190,1895-4,Black CFM Isolate 2 Kg Caramelo Salado,Amix Nutrition,Proteína,"56,74",1,"56,74",30/07/2026,jul-2026,90,VIGENTE,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
LR,8425402786086,2724-3,"Ovo Prot 100% Egg Protein Formula 2,2 Lb Natilla de vainilla con galleta",American Nutrition,Proteína,"24,96",1,"24,96",30/07/2026,jul-2026,90,VIGENTE,1,"0-3gr, 0-4gr, 10IVA, 90-100gr, Ganar músculo, Huevo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8425402786079,2724-2,"Ovo Prot 100% Egg Protein Formula 2,2 Lb Moras y Arándanos",American Nutrition,Proteína,"24,96",1,"24,96",30/07/2026,jul-2026,90,VIGENTE,,"0-3gr, 0-4gr, 10IVA, 90-100gr, Ganar músculo, Huevo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,5060751995418,2469-3,High Protein Shake 500 Ml Vainilla,Optimum Nutrition,Proteína,"2,39",6,"14,34",25/07/2026,jul-2026,85,VENDIDO,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
3C,8594159533929,1369,Hepacor 90 Caps,Amix Nutrition,Salud y Bienestar,"17,88",1,"17,88",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, AMIX, AMIXPRO, Carnitina, Depuradores, Salud, Salud y Bienestar, Vitamina B3, Vitamina B6, Vitaminas"
3C,8594046791234,831-5,"Iso HD 90 CFM Protein 1,8 Kg Chocolate Blanco - Galleta",Amix Nutrition,Proteína,"51,22",2,"102,44",30/07/2026,jul-2026,90,EN RIESGO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, AMIXPRO, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8594159530218,831-1,"Iso HD 90 CFM Protein 1,8 Kg Vainilla",Amix Nutrition,Proteína,"51,22",1,"51,22",30/07/2026,jul-2026,90,VIGENTE,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, AMIXPRO, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436578410583,1423-1,"Gain 100 1,5 Kg Chocolate",WheyLand,Carbos / Subidores,"11,55",2,"23,10",30/07/2026,jul-2026,90,VIGENTE,,"0-20gr, 0-3gr, 1.01 kg - 2.50 kg, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.3.99, Amilopectina, Añadido extra de aminoácidos, Con carbohidratos, Contiene Creatina, Dextrosa, Fructosa, Ganadores de peso, Ganar músculo, Maltodextrina, Recuperación, Vitaminas / minerales"
3C,8594159533813,23-2,"Anabolic Masster 2,2 Kg Frutas",Amix Nutrition,Carbos / Subidores,"45,03",1,"45,03",30/07/2026,jul-2026,90,VIGENTE,,"+relevantes, 0-3gr, 1.01 kg - 2.50 kg, 10IVA, 35-49gr, 36-50gr, < 3 kg, AMIX, Avena, Añadido extra de aminoácidos, Con carbohidratos, Contiene Creatina, Enzimas digestivas, Fructosa, Ganadores de peso, Ganar músculo, Glucosa, Maltodextrina, Palatinosa, Polvo, Recuperación, Vitaminas / minerales"
3C,5060751991052,1238-2,No-xplode New Formula 390 Gr Red Rush,BSN,Preentreno / Precursores,"17,35",1,"17,35",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, AMAZON.AUMENTO.1.99, AMERICANA, Beta alanina, BULEVIP.AUEMNTO.1.99, Cafeína, Citrulina, Colina, Con estimulantes, DECATHLON.AUMENTO.1.99, Energizantes, Ginseng, Más Energía, Pimienta negra, Polvo, Pomelo, Pre-Entrenos, Rhodiola rosea, Vitamina C, Zinc"
3C,8594159537262,255-1,Detonatrol 90 Caps,Amix Nutrition,Control y Pérdida de peso,"21,33",2,"42,66",30/07/2026,jul-2026,90,VIGENTE,,"+relevantes, 10IVA, AMIX, Bloqueadores, Cafeína, Café verde, Cetonas de frambuesa, Cla, Control de peso, Cápsulas, Depuradores, Diuréticos, Extracto de naranja roja, Extracto de pomelo, Garcinia Cambogia, Guaraná, Inhibidores del apetito, Jengibre, MUSCLECORE, Naranja amarga, Naranja sanguínea, Perder peso, Pimienta negra, Pomelo, Rhodiola rosea, Sauce blanco, Termogénicos, Té verde, Vitamina B3, Vitamina B6, Vitamina C, Ácido Ursólico"
3C,8436567350104,2592-1,High Energy Gel Caffeine 76 Gr Cereza,226ERS,Preentreno / Precursores,"2,11",1,"2,11",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, Cafeína, Ciclodextrina, Con carbohidratos, Con estimulantes, Endurance, Energizantes, Gel, Maltodextrina, Más Energía, Pre-Entrenos, Recuperación, Sodio"
3C,8594159534490,3-11,IsoPrime CFM 2 Kg Manzana - Canela,Amix Nutrition,Proteína,"59,53",1,"59,53",30/07/2026,jul-2026,90,VIGENTE,,"+relevantes, +vendidos, 0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 90-100gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8407201379621,1843-5,Creatina Creapure 300 Gr Doughnut,Protella,Creatina,"14,06",3,"42,18",30/07/2026,jul-2026,90,VIGENTE,,#N/A
3C,8436622730803,1983,Joe's Peanut Butter 350 Gr,Protella,Comida Fitness,"3,58",2,"7,16",30/07/2026,jul-2026,90,VIGENTE,,#N/A
3C,8437014456172,1649-3,"Instant Oatmeal 1,9 Kg Cookies and cream",Perfect Nutrition,Avena / Arroz,"6,88",6,"41,28",30/07/2026,jul-2026,90,VIGENTE,,"+vistos, 0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.2.99, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
3C,8425252159474,1054-10,"Oatmeal-Harina de Avena Top Flavors 1,5 Kg Chocomix",Max Protein,Avena / Arroz,"6,49",2,"12,98",30/07/2026,jul-2026,90,VIGENTE,,"0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.7.99, Avena, Carbohidratos, Comida Saludable, DECATHLON.AUMENTO.0.99, Desayunos Fit, Destacados, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
3C,8425252000714,426-5,"Good Morning Instant Oatmeal 1,5 Kg Gofre - Chocolate Blanco",Max Protein,Avena / Arroz,"6,22",4,"24,88",30/07/2026,jul-2026,90,VIGENTE,,"+vistos, 0-20gr, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.7.99, Avena, Carbohidratos, Comida Saludable, DECATHLON.AUMENTO.0.99, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
3C,8436574980004,1867,CAL-MAG 120 Caps,Starlabs,Vitaminas & Minerales,"7,95",1,"7,95",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, AMAZON.EXCLUIDO.PROBLEMAS, Articulaciones, Boro, Calcio, Cosmética, Endurance, Estrés y Ansiedad, Glucosa en sangre, Magnesio, Minerales, Más Energía, Salud, Salud y Bienestar, Sistema Inmune"
3C,8436574980226,1457,Meriva Curcumin Turmeric 30 Caps,Starlabs,Salud y Bienestar,"7,14",1,"7,14",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, AMAZON.AUMENTO.1.99, Antioxidantes, Cúrcuma, Depuradores, Glucosa en sangre, Pimienta negra, Salud, Salud y Bienestar, Sistema Inmune, Vitamina D"
3C,8413412209145,563-16,Salsas Servivita 320 Ml Mango,Servivita,Comida Fitness,"1,71",1,"1,71",30/07/2026,jul-2026,90,VIGENTE,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
3C,5060245601023,30-2,"Serious Mass 5,45 Kg Vainilla",Optimum Nutrition,Carbos / Subidores,"51,71",1,"51,71",30/07/2026,jul-2026,90,VIGENTE,,"0-20gr, 0-3gr, 10IVA, 65-80gr, > 3 kg, AMAZON.AUMENTO.2.99, AMERICANA, Añadido extra de aminoácidos, Con carbohidratos, Contiene Creatina, Ganadores de peso, Ganar músculo, Maltodextrina, Recuperación, Vitaminas / minerales"
3C,8436601101198,1794-2,Sport Live Iso Whey Protein Aislado 800 Gr Cookies and Cream,Drasanvi,Proteína,"20,90",1,"20,90",30/07/2026,jul-2026,90,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMAZON.AUMENTO.2.99, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8594159537392,499-2,Pure CFM Whey Nitro Protein Isolate 1 Kg Vainilla,Amix Nutrition,Proteína,"32,02",1,"32,02",30/07/2026,jul-2026,90,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, MUSCLECORE, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436540534705,1162,Citrulline 1000 100 Caps,Vitobest,Preentreno / Precursores,"9,98",1,"9,98",30/07/2026,jul-2026,90,VIGENTE,,"10IVA, Aminoácidos, Aminoácidos individuales, Citrulina, Cápsulas, Energizantes, Ganar músculo, Más Energía, Otros aminoácidos, Perder peso, Pre-Entrenos, Salud, Salud y Bienestar, Sin cafeína, Sin estimulantes"
3C,8594060006338,1014-1,Glutamine + Bcaa 300 Gr Neutro,Amix Nutrition,Aminoácidos,"11,35",2,"22,70",30/07/2026,jul-2026,90,VIGENTE,,"+relevantes, 10IVA, AMAZON.AUMENTO.1.99, Aminoácidos, AMIX, Destacados, Endurance, Ganar músculo, Glutamina y Bcaa, Perder peso, Polvo, Recuperación, Salud y Bienestar, Sin carbohidratos"
CL,8437015531540,2631,Harina De Avena 100% Bio 1 Kg,BioArtesa,Avena / Arroz,"2,89",2,"5,78",02/07/2026,jul-2026,62,VENDIDO,,"0 kg - 1 kg, 0-20gr, 04IVA, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin lactosa"
3C,8437014456172,1649-3,"Instant Oatmeal 1,9 Kg Cookies and cream",Perfect Nutrition,Avena / Arroz,"6,88",6,"41,28",30/07/2026,jul-2026,90,VIGENTE,,"+vistos, 0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.2.99, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
3C,8436578410866,1552-1,Iso Zero 500 Gr Madagascar Vainilla,WheyLand,Proteína,"15,68",1,"15,68",30/07/2026,jul-2026,90,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8594060008370,1213-2,IsoPrime CFM 500 Gr Fresa,Amix Nutrition,Proteína,"16,42",1,"16,42",30/07/2026,jul-2026,90,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, PRODUCTOCL, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436578411016,1180-14,Iso Zero 1 Kg Brownie Choc,WheyLand,Proteína,"29,10",1,"29,10",30/07/2026,jul-2026,90,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, AMAZON.AUMENTO.4.99, BULEVIP.AUMENTO.2.99, DECATHLON.AUMENTO.4.99, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
